plant_curie,plant_name,disease_curie
ncbitaxon:3369,Cryptomeria japonica,MONDO:0005324
ncbitaxon:3311,Ginkgo biloba,MONDO:0002643
ncbitaxon:203270,Berberis aquifolium,MONDO:0008334
ncbitaxon:285590,Tinospora cordifolia,MONDO:0004298
ncbitaxon:217498,Acalypha wilkesiana,MONDO:0021100
ncbitaxon:217498,Acalypha wilkesiana,MONDO:0016419
ncbitaxon:4054,Panax ginseng,MONDO:0019182
ncbitaxon:4054,Panax ginseng,MONDO:0011122
ncbitaxon:4054,Panax ginseng,MONDO:0005015
ncbitaxon:175694,Andrographis paniculata,MONDO:0005709
ncbitaxon:3501,Urtica dioica,MONDO:0005554
ncbitaxon:16719,Juglans nigra,MONDO:0003937
ncbitaxon:3055,Chlamydomonas reinhardtii,MONDO:0010200
ncbitaxon:4054,Panax ginseng,MONDO:0005070
ncbitaxon:3712,Brassica oleracea,MONDO:0005070
ncbitaxon:3821,Cajanus cajan,MONDO:0019004
ncbitaxon:4202,Sambucus nigra,MONDO:0005070
ncbitaxon:4220,Artemisia vulgaris,MONDO:0007704
ncbitaxon:4220,Artemisia vulgaris,MONDO:0005178
ncbitaxon:4220,Artemisia vulgaris,MONDO:0005324
ncbitaxon:4222,Carthamus tinctorius,MONDO:0005015
ncbitaxon:3972,Viscum album,MONDO:0005070
ncbitaxon:137893,Saussurea medusa,MONDO:0005070
ncbitaxon:65561,Hypericum perforatum,MONDO:0005379
ncbitaxon:94286,Platycodon grandiflorus,MONDO:0011122
ncbitaxon:94286,Platycodon grandiflorus,MONDO:0019182
ncbitaxon:175694,Andrographis paniculata,MONDO:0011989
ncbitaxon:48106,Centella asiatica,MONDO:0000945
ncbitaxon:47083,Melilotus officinalis,MONDO:0000945
ncbitaxon:3047,Dunaliella tertiolecta,MONDO:0001045
ncbitaxon:3311,Ginkgo biloba,MONDO:0005559
ncbitaxon:55188,Citrus unshiu,MONDO:0003409
ncbitaxon:184783,Areca catechu,MONDO:0018166
ncbitaxon:85223,Laurus nobilis,MONDO:0006525
ncbitaxon:175694,Andrographis paniculata,MONDO:0005654
ncbitaxon:128375,Uncaria tomentosa,MONDO:0021100
ncbitaxon:128375,Uncaria tomentosa,MONDO:0016419
ncbitaxon:3311,Ginkgo biloba,MONDO:0005299
ncbitaxon:65561,Hypericum perforatum,MONDO:0016648
ncbitaxon:3708,Brassica napus,MONDO:0024558
ncbitaxon:3708,Brassica napus,MONDO:0011555
ncbitaxon:3311,Ginkgo biloba,MONDO:0002406
ncbitaxon:4722,Serenoa repens,MONDO:0010811
ncbitaxon:97031,Trifolium pallidum,MONDO:0005976
ncbitaxon:226208,Salvia miltiorrhiza,MONDO:0004995
ncbitaxon:296034,Phyllanthus niruri,MONDO:0021187
ncbitaxon:43575,Uncaria rhynchophylla,MONDO:0005299
ncbitaxon:4522,Lolium perenne,MONDO:0005324
ncbitaxon:147272,Paspalum notatum,MONDO:0005324
ncbitaxon:107821,Barringtonia racemosa,MONDO:0005070
ncbitaxon:387928,Anemone raddeana,MONDO:0005554
ncbitaxon:387928,Anemone raddeana,MONDO:0021667
ncbitaxon:3311,Ginkgo biloba,MONDO:0005053
ncbitaxon:354523,Tetradium ruticarpum,MONDO:0005154
ncbitaxon:65561,Hypericum perforatum,MONDO:0004985
ncbitaxon:355589,Huperzia serrata,MONDO:0004975
ncbitaxon:355589,Huperzia serrata,MONDO:0015140
ncbitaxon:82927,Avicennia marina,MONDO:0024298
ncbitaxon:49840,Sophora flavescens,MONDO:0005059
ncbitaxon:4072,Capsicum annuum,MONDO:0007471
ncbitaxon:38868,Salvia officinalis,MONDO:0004975
ncbitaxon:38868,Salvia officinalis,MONDO:0015140
ncbitaxon:555479,Nigella sativa,MONDO:0004298
ncbitaxon:413760,Diospyros mespiliformis,MONDO:0005070
ncbitaxon:3397,Cycas circinalis,MONDO:0020488
ncbitaxon:3397,Cycas circinalis,MONDO:0004976
ncbitaxon:3397,Cycas circinalis,MONDO:0020128
ncbitaxon:34256,Mentha x piperita,MONDO:0005709
ncbitaxon:3311,Ginkgo biloba,MONDO:0001627
ncbitaxon:90897,Cicer echinospermum,MONDO:0002041
ncbitaxon:65561,Hypericum perforatum,MONDO:0005263
ncbitaxon:82096,Eleutherococcus senticosus,MONDO:0009741
ncbitaxon:82096,Eleutherococcus senticosus,MONDO:0005072
ncbitaxon:89151,Musa x paradisiaca,MONDO:0005015
ncbitaxon:616984,Alangium salviifolium,MONDO:0002040
ncbitaxon:72650,Veratrum viride,MONDO:0001134
ncbitaxon:3859,Lathyrus odoratus,MONDO:0043339
ncbitaxon:3972,Viscum album,MONDO:0020764
ncbitaxon:4164,Digitalis purpurea,MONDO:0005252
ncbitaxon:4054,Panax ginseng,MONDO:0005148
ncbitaxon:4054,Panax ginseng,MONDO:0002909
ncbitaxon:55634,Dioscorea communis,MONDO:0007184
ncbitaxon:336103,Pseudoacanthocereus brasiliensis,MONDO:0005894
ncbitaxon:223168,Littorella australis,MONDO:0043004
ncbitaxon:475907,Lithospermum officinale,MONDO:0005070
ncbitaxon:4670,Galanthus nivalis,MONDO:0021167
ncbitaxon:85712,Angelica gigas,MONDO:0005070
ncbitaxon:210348,Brucea javanica,MONDO:0001517
ncbitaxon:3055,Chlamydomonas reinhardtii,MONDO:0001437
ncbitaxon:4120,Ipomoea batatas,MONDO:0005927
ncbitaxon:253616,Epimedium sagittatum,MONDO:0008159
ncbitaxon:253616,Epimedium sagittatum,MONDO:0005298
ncbitaxon:16922,Camptotheca acuminata,MONDO:0005070
ncbitaxon:3708,Brassica napus,MONDO:0000775
ncbitaxon:36901,Medicago scutellata,MONDO:0005153
ncbitaxon:36901,Medicago scutellata,MONDO:0021100
ncbitaxon:36901,Medicago scutellata,MONDO:0016419
ncbitaxon:77912,Pinus densiflora,MONDO:0005379
ncbitaxon:107240,Scoparia dulcis,MONDO:0005015
ncbitaxon:229548,Eucalyptus occidentalis,MONDO:0004643
ncbitaxon:4060,Rauvolfia serpentina,MONDO:0007263
ncbitaxon:34199,Aloe vera,MONDO:0005015
ncbitaxon:13331,Akebia quinata,MONDO:0005070
ncbitaxon:53751,Echinacea purpurea,MONDO:0024355
ncbitaxon:293060,Phyllanthus amarus,MONDO:0005154
ncbitaxon:68527,Aegle marmelos,MONDO:0005015
ncbitaxon:71251,Chelidonium majus,MONDO:0005154
ncbitaxon:59045,Anemarrhena asphodeloides,MONDO:0005015
ncbitaxon:38705,Phyllostachys edulis,MONDO:0004389
ncbitaxon:121718,Tilia tomentosa,MONDO:0005709
ncbitaxon:121718,Tilia tomentosa,MONDO:0003781
ncbitaxon:130404,Piper methysticum,MONDO:0005618
ncbitaxon:120290,Psidium guajava,MONDO:0005311
ncbitaxon:120290,Psidium guajava,MONDO:0007169
ncbitaxon:223891,Solanum virginianum,MONDO:0004979
ncbitaxon:404689,Solanum trilobatum,MONDO:0004979
ncbitaxon:223891,Solanum virginianum,MONDO:0010940
ncbitaxon:404689,Solanum trilobatum,MONDO:0010940
ncbitaxon:223891,Solanum virginianum,MONDO:0001358
ncbitaxon:404689,Solanum trilobatum,MONDO:0001358
ncbitaxon:158538,Aristolochia clematitis,MONDO:0007416
ncbitaxon:136217,Curcuma longa,MONDO:0002898
ncbitaxon:136217,Curcuma longa,MONDO:0021085
ncbitaxon:136217,Curcuma longa,MONDO:0007648
ncbitaxon:37501,Maackia amurensis,MONDO:0002512
ncbitaxon:555479,Nigella sativa,MONDO:0004672
ncbitaxon:219868,Syzygium aromaticum,MONDO:0004672
ncbitaxon:4558,Sorghum bicolor,MONDO:0018868
ncbitaxon:65409,Scutellaria baicalensis,MONDO:0008315
ncbitaxon:285590,Tinospora cordifolia,MONDO:0043839
ncbitaxon:49827,Glycyrrhiza glabra,MONDO:0043839
ncbitaxon:555479,Nigella sativa,MONDO:0005070
ncbitaxon:63476,Hemidesmus indicus,MONDO:0005070
ncbitaxon:3712,Brassica oleracea,MONDO:0021100
ncbitaxon:3712,Brassica oleracea,MONDO:0016419
ncbitaxon:39338,Melissa officinalis,MONDO:0021187
ncbitaxon:3897,Styphnolobium japonicum,MONDO:0020671
ncbitaxon:3897,Styphnolobium japonicum,MONDO:0005053
ncbitaxon:3897,Styphnolobium japonicum,MONDO:0002679
ncbitaxon:155640,Melia azedarach,MONDO:0005136
ncbitaxon:155640,Melia azedarach,MONDO:0012202
ncbitaxon:224037,Dendrostellera lessertii,MONDO:0005070
ncbitaxon:105181,Elettaria cardamomum,MONDO:0003409
ncbitaxon:145798,Psephellus pulcherrimus,MONDO:0012202
ncbitaxon:145798,Psephellus pulcherrimus,MONDO:0005136
ncbitaxon:613112,Boswellia serrata,MONDO:0000703
ncbitaxon:3369,Cryptomeria japonica,MONDO:0011786
ncbitaxon:3369,Cryptomeria japonica,MONDO:0004126
ncbitaxon:78168,Passiflora edulis,MONDO:0005660
ncbitaxon:49153,Lyonia ovalifolia,MONDO:0005015
ncbitaxon:613112,Boswellia serrata,MONDO:0005532
ncbitaxon:613112,Boswellia serrata,MONDO:0004979
ncbitaxon:613112,Boswellia serrata,MONDO:0005070
ncbitaxon:613112,Boswellia serrata,MONDO:0005578
ncbitaxon:613112,Boswellia serrata,MONDO:0005292
ncbitaxon:613112,Boswellia serrata,MONDO:0008617
ncbitaxon:613112,Boswellia serrata,MONDO:0005101
ncbitaxon:613112,Boswellia serrata,MONDO:0010940
ncbitaxon:238549,Schisandra lancifolia,MONDO:0012268
ncbitaxon:65561,Hypericum perforatum,MONDO:0006515
ncbitaxon:136217,Curcuma longa,MONDO:0005070
ncbitaxon:3813,Albizia julibrissin,MONDO:0005059
ncbitaxon:300888,Patrinia scabiosifolia,MONDO:0006515
ncbitaxon:35889,Nicotiana glutinosa,MONDO:0005070
ncbitaxon:165353,Angelica sinensis,MONDO:0002771
ncbitaxon:3311,Ginkgo biloba,MONDO:0017384
ncbitaxon:44586,Panax notoginseng,MONDO:0021187
ncbitaxon:234471,Carex pulicaris,MONDO:0008656
ncbitaxon:4054,Panax ginseng,MONDO:0005618
ncbitaxon:301693,Annona squamosa,MONDO:0005015
ncbitaxon:13363,Borago officinalis,MONDO:0005299
ncbitaxon:55635,Inula helenium,MONDO:0005070
ncbitaxon:3845,Erythrina variegata,MONDO:0008159
ncbitaxon:120290,Psidium guajava,MONDO:0005015
ncbitaxon:3840,Vigna unguiculata subsp. cylindrica,MONDO:0004980
ncbitaxon:264979,Pergularia tomentosa,MONDO:0019754
ncbitaxon:264979,Pergularia tomentosa,MONDO:0005055
ncbitaxon:49992,Thymus vulgaris,MONDO:0003781
ncbitaxon:228586,Humulus scandens,MONDO:0005324
ncbitaxon:270440,Erica multiflora,MONDO:0021187
ncbitaxon:67918,Toona ciliata,MONDO:0043839
ncbitaxon:171929,Anacardium occidentale,MONDO:0005902
ncbitaxon:39358,Prunella vulgaris,MONDO:0005062
ncbitaxon:90397,Echinochloa crus-galli,MONDO:0002319
ncbitaxon:78168,Passiflora edulis,MONDO:0002406
